training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9863,-1,7.0998,-1,3773.6445,-1
0,1,12665,0.9981,-1,6.9866,-1,3773.6445,-1
0,2,12665,0.9987,-1,7.0467,-1,3773.9023,-1
0,3,12665,0.9989,-1,6.9459,-1,3773.9023,-1
0,4,12665,0.9991,-1,6.9087,-1,3773.9023,-1
0,5,12665,0.9991,-1,6.9753,-1,3773.9023,-1
0,6,12665,0.9991,-1,7.0098,-1,3773.9023,-1
0,7,12665,0.9993,-1,7.0493,-1,3773.9023,-1
1,0,24754,0.9508,-1,13.8337,-1,3776.0742,-1
1,1,24754,0.9730,-1,13.8206,-1,3776.1367,-1
1,2,24754,0.9783,-1,13.8905,-1,3776.1367,-1
1,3,24754,0.9816,-1,13.7167,-1,3776.3945,-1
1,4,24754,0.9844,-1,13.7086,-1,3776.3945,-1
1,5,24754,0.9872,-1,14.4442,-1,3776.3945,-1
1,6,24754,0.9884,-1,13.6364,-1,3776.6523,-1
1,7,24754,0.9900,-1,14.4973,-1,3776.6523,-1
2,0,36017,0.9519,-1,20.6939,-1,3779.2773,-1
2,1,36017,0.9763,-1,20.6361,-1,3779.1992,-1
2,2,36017,0.9812,-1,21.2263,-1,3778.6875,-1
2,3,36017,0.9839,-1,21.2838,-1,3778.6875,-1
2,4,36017,0.9863,-1,21.2710,-1,3778.6875,-1
2,5,36017,0.9883,-1,21.2230,-1,3778.6875,-1
2,6,36017,0.9898,-1,21.3907,-1,3778.9414,-1
2,7,36017,0.9908,-1,21.2891,-1,3778.9414,-1
3,0,48200,0.9685,-1,28.3548,-1,3782.5859,-1
3,1,48200,0.9820,-1,28.3365,-1,3782.6562,-1
3,2,48200,0.9844,-1,28.4390,-1,3782.8086,-1
3,3,48200,0.9866,-1,28.4659,-1,3782.9492,-1
3,4,48200,0.9879,-1,28.4616,-1,3783.3477,-1
3,5,48200,0.9895,-1,28.4821,-1,3783.6055,-1
3,6,48200,0.9905,-1,28.3357,-1,3783.6055,-1
3,7,48200,0.9916,-1,28.4105,-1,3783.8633,-1
4,0,60000,0.9613,-1,35.4415,-1,3788.0977,-1
4,1,60000,0.9750,-1,35.3559,-1,3788.3438,-1
4,2,60000,0.9795,-1,34.7663,-1,3788.7812,-1
4,3,60000,0.9819,-1,35.4120,-1,3788.9570,-1
4,4,60000,0.9848,-1,35.4446,-1,3789.1328,-1
4,5,60000,0.9864,-1,35.2870,-1,3789.5391,-1
4,6,60000,0.9878,-1,35.5875,-1,3789.7031,-1
4,7,60000,0.9889,-1,35.3123,-1,3789.9609,-1
