training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9897,-1,13.3734,-1,3770.5312,-1
0,1,12665,0.9983,-1,6.7028,-1,3771.4609,-1
0,2,12665,0.9986,-1,6.9212,-1,3771.4609,-1
0,3,12665,0.9988,-1,6.8765,-1,3771.4609,-1
0,4,12665,0.9989,-1,6.9194,-1,3771.4609,-1
0,5,12665,0.9991,-1,6.8717,-1,3771.4609,-1
0,6,12665,0.9991,-1,6.9333,-1,3771.8203,-1
0,7,12665,0.9992,-1,6.9370,-1,3771.8203,-1
1,0,12089,0.9286,-1,10.1519,-1,3770.2266,-1
1,1,12089,0.9737,-1,6.6068,-1,3770.2266,-1
1,2,12089,0.9777,-1,6.6745,-1,3770.2266,-1
1,3,12089,0.9816,-1,6.4788,-1,3770.7148,-1
1,4,12089,0.9843,-1,6.9613,-1,3770.7148,-1
1,5,12089,0.9859,-1,7.0209,-1,3770.7148,-1
1,6,12089,0.9882,-1,7.0088,-1,3770.7148,-1
1,7,12089,0.9902,-1,7.0085,-1,3770.7148,-1
2,0,11263,0.9405,-1,9.0207,-1,3771.2305,-1
2,1,11263,0.9904,-1,6.0048,-1,3742.8047,-1
2,2,11263,0.9926,-1,6.3345,-1,3742.8047,-1
2,3,11263,0.9940,-1,6.4734,-1,3742.8047,-1
2,4,11263,0.9952,-1,6.6175,-1,3742.8047,-1
2,5,11263,0.9954,-1,6.3533,-1,3742.8047,-1
2,6,11263,0.9959,-1,6.5476,-1,3742.8047,-1
2,7,11263,0.9964,-1,6.4566,-1,3742.8047,-1
3,0,12183,0.9539,-1,13.4412,-1,3743.0664,-1
3,1,12183,0.9978,-1,7.1074,-1,3729.0156,-1
3,2,12183,0.9981,-1,7.2884,-1,3729.0156,-1
3,3,12183,0.9985,-1,7.3463,-1,3729.0156,-1
3,4,12183,0.9990,-1,6.8565,-1,3729.0156,-1
3,5,12183,0.9991,-1,6.7075,-1,3729.0156,-1
3,6,12183,0.9991,-1,6.7548,-1,3729.0156,-1
3,7,12183,0.9992,-1,6.7135,-1,3729.2734,-1
4,0,11800,0.9276,-1,10.9026,-1,3728.7773,-1
4,1,11800,0.9814,-1,6.4477,-1,3714.1797,-1
4,2,11800,0.9847,-1,6.4066,-1,3714.1797,-1
4,3,11800,0.9864,-1,6.4084,-1,3714.1797,-1
4,4,11800,0.9878,-1,6.4632,-1,3714.1797,-1
4,5,11800,0.9895,-1,6.4390,-1,3714.1797,-1
4,6,11800,0.9908,-1,6.4877,-1,3714.1797,-1
4,7,11800,0.9919,-1,6.4045,-1,3714.1797,-1
