training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9843,-1,7.0991,-1,3640.3359,-1
0,1,12665,0.9979,-1,6.9847,-1,3640.5938,-1
0,2,12665,0.9985,-1,7.0290,-1,3640.5938,-1
0,3,12665,0.9988,-1,6.9719,-1,3640.5938,-1
0,4,12665,0.9989,-1,7.0138,-1,3640.5938,-1
0,5,12665,0.9989,-1,6.9463,-1,3640.5938,-1
0,6,12665,0.9991,-1,7.0447,-1,3640.5938,-1
0,7,12665,0.9994,-1,7.0096,-1,3640.8516,-1
1,0,12089,0.9379,-1,10.6753,-1,3641.2656,-1
1,1,12089,0.9752,-1,10.3185,-1,3641.2656,-1
1,2,12089,0.9785,-1,10.1315,-1,3641.2656,-1
1,3,12089,0.9820,-1,10.1675,-1,3641.5234,-1
1,4,12089,0.9840,-1,10.2860,-1,3641.5234,-1
1,5,12089,0.9862,-1,10.1414,-1,3641.5234,-1
1,6,12089,0.9881,-1,10.3006,-1,3641.5234,-1
1,7,12089,0.9889,-1,10.8432,-1,3641.5234,-1
2,0,11263,0.9149,-1,9.8191,-1,3642.2969,-1
2,1,11263,0.9801,-1,9.8388,-1,3642.5547,-1
2,2,11263,0.9872,-1,9.5797,-1,3642.5547,-1
2,3,11263,0.9904,-1,9.3611,-1,3642.5547,-1
2,4,11263,0.9923,-1,9.4383,-1,3642.5547,-1
2,5,11263,0.9935,-1,9.4091,-1,3642.5547,-1
2,6,11263,0.9942,-1,9.4481,-1,3642.5547,-1
2,7,11263,0.9947,-1,9.4481,-1,3642.8125,-1
3,0,12183,0.9401,-1,10.6878,-1,3643.4102,-1
3,1,12183,0.9855,-1,10.4647,-1,3643.4102,-1
3,2,12183,0.9924,-1,10.5708,-1,3643.6680,-1
3,3,12183,0.9938,-1,10.1779,-1,3643.6680,-1
3,4,12183,0.9948,-1,10.1572,-1,3643.6680,-1
3,5,12183,0.9954,-1,10.2133,-1,3643.6680,-1
3,6,12183,0.9960,-1,10.1822,-1,3643.6680,-1
3,7,12183,0.9963,-1,10.6147,-1,3643.6680,-1
4,0,11800,0.9157,-1,10.4615,-1,3644.5117,-1
4,1,11800,0.9705,-1,10.0100,-1,3644.5117,-1
4,2,11800,0.9776,-1,10.9428,-1,3644.5117,-1
4,3,11800,0.9827,-1,12.2423,-1,3644.7695,-1
4,4,11800,0.9861,-1,12.6407,-1,3644.7695,-1
4,5,11800,0.9878,-1,10.7757,-1,3644.7695,-1
4,6,11800,0.9892,-1,10.6123,-1,3644.7695,-1
4,7,11800,0.9903,-1,10.6150,-1,3645.0234,-1
