training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9880,-1,7.7570,-1,3606.6523,-1
0,1,12665,0.9979,-1,7.4519,-1,3606.6523,-1
0,2,12665,0.9987,-1,7.4219,-1,3606.6523,-1
0,3,12665,0.9988,-1,7.3985,-1,3606.6523,-1
0,4,12665,0.9989,-1,7.3512,-1,3606.6523,-1
0,5,12665,0.9992,-1,7.3153,-1,3606.6523,-1
0,6,12665,0.9991,-1,7.3062,-1,3606.6523,-1
0,7,12665,0.9993,-1,7.3419,-1,3606.6523,-1
1,0,12089,0.5886,-1,7.4854,-1,3606.6523,-1
1,1,12089,0.6185,-1,7.6036,-1,3606.6523,-1
1,2,12089,0.6249,-1,7.5980,-1,3606.6523,-1
1,3,12089,0.6407,-1,7.5952,-1,3606.6523,-1
1,4,12089,0.6535,-1,7.5122,-1,3606.6523,-1
1,5,12089,0.6580,-1,7.5688,-1,3606.6523,-1
1,6,12089,0.6700,-1,7.5715,-1,3606.6523,-1
1,7,12089,0.6706,-1,7.5813,-1,3606.6523,-1
2,0,11263,0.8873,-1,7.0164,-1,3606.6523,-1
2,1,11263,0.9610,-1,7.2056,-1,3606.6523,-1
2,2,11263,0.9722,-1,7.0672,-1,3606.6523,-1
2,3,11263,0.9785,-1,7.0605,-1,3606.6523,-1
2,4,11263,0.9834,-1,7.1040,-1,3606.6523,-1
2,5,11263,0.9855,-1,6.9817,-1,3606.6523,-1
2,6,11263,0.9877,-1,7.0461,-1,3606.6523,-1
2,7,11263,0.9896,-1,7.0834,-1,3606.6523,-1
3,0,12183,0.8653,-1,7.9047,-1,3606.6523,-1
3,1,12183,0.9557,-1,8.0554,-1,3606.6523,-1
3,2,12183,0.9702,-1,8.1851,-1,3606.6523,-1
3,3,12183,0.9771,-1,8.1889,-1,3606.6523,-1
3,4,12183,0.9823,-1,7.8104,-1,3606.6523,-1
3,5,12183,0.9850,-1,7.9227,-1,3606.6523,-1
3,6,12183,0.9879,-1,7.6199,-1,3606.6523,-1
3,7,12183,0.9886,-1,7.6799,-1,3606.6523,-1
4,0,11800,0.8412,-1,7.1084,-1,3606.6523,-1
4,1,11800,0.9173,-1,7.1617,-1,3606.6523,-1
4,2,11800,0.9382,-1,7.2290,-1,3606.6523,-1
4,3,11800,0.9487,-1,7.4046,-1,3606.6523,-1
4,4,11800,0.9594,-1,7.4288,-1,3606.6523,-1
4,5,11800,0.9635,-1,7.3958,-1,3606.6523,-1
4,6,11800,0.9671,-1,7.4004,-1,3606.6523,-1
4,7,11800,0.9703,-1,7.3518,-1,3606.6523,-1
