,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,12665.0,12665.0,60000.0,13165,15165,12665.0
1,0,12665.0,12665.0,60000.0,13165,15165,12665.0
2,0,12665.0,12665.0,60000.0,13165,15165,12665.0
3,1,12089.0,24754.0,60000.0,12589,14589,12089.0
4,1,12089.0,24754.0,60000.0,12589,14589,12089.0
5,1,12089.0,24754.0,60000.0,12589,14589,12089.0
6,2,11263.0,36017.0,60000.0,11763,13763,11263.0
7,2,11263.0,36017.0,60000.0,11763,13763,11263.0
8,2,11263.0,36017.0,60000.0,11763,13763,11263.0
9,3,12183.0,48200.0,60000.0,12683,14683,12183.0
10,3,12183.0,48200.0,60000.0,12683,14683,12183.0
11,3,12183.0,48200.0,60000.0,12683,14683,12183.0
12,4,11800.0,60000.0,60000.0,12300,14300,11800.0
13,4,11800.0,60000.0,60000.0,12300,14300,11800.0
14,4,11800.0,60000.0,60000.0,12300,14300,11800.0
