,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,7.6919125,7.0027625,33.4669875,7.0123875,7.0674125,7.3643
1,0,7.0230625,6.937362500000001,33.57655,7.2889625,7.0388625,7.3770750000000005
2,0,6.956474999999999,6.9603,33.4018625,7.4435375,7.02905,7.4179875
3,1,7.2389375,13.9435,33.4669875,10.358,10.123925,7.55035
4,1,6.6941875,13.862825,33.57655,10.5636625,10.1837375,7.6567
5,1,6.6492875,13.8790125,33.4018625,10.864574999999999,10.1642625,7.564500000000001
6,2,6.726050000000001,21.126737499999997,33.4669875,9.542787500000001,9.451287500000001,6.7749749999999995
7,2,6.2486875,20.081425,33.57655,9.8847375,9.507975000000002,7.806925
8,2,6.196125,20.0493125,33.4018625,9.7633875,9.4319125,7.070612499999999
9,3,7.77695,28.410762499999997,33.4669875,10.383575,10.234662499999999,7.344925
10,3,6.659825,26.850625,33.57655,11.113875,10.32805,7.389037500000001
11,3,6.7056125,26.90745,33.4018625,10.2424125,10.487525,7.9208750000000006
12,4,6.9949625,35.3258875,33.4669875,11.0375375,9.9300625,7.4272124999999996
13,4,6.4712125,33.458125,33.57655,10.38805,9.9309125,8.403224999999999
14,4,6.1596125,33.4752625,33.4018625,9.9456,10.5550125,7.3100625
