training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,60000,0.8657,-1,44.2284,-1,3991.1758,-1
0,1,60000,0.9364,-1,43.2924,-1,3991.6055,-1
0,2,60000,0.9537,-1,45.7489,-1,3991.9766,-1
0,3,60000,0.9638,-1,43.4967,-1,3992.3203,-1
1,0,60000,0.9156,-1,45.7419,-1,3995.9609,-1
1,1,60000,0.9602,-1,45.6890,-1,3996.4531,-1
1,2,60000,0.9709,-1,43.6518,-1,3996.5508,-1
1,3,60000,0.9773,-1,45.8218,-1,3996.9609,-1
2,0,60000,0.9259,-1,50.5352,-1,4001.6484,-1
2,1,60000,0.9666,-1,50.6467,-1,4002.1328,-1
2,2,60000,0.9768,-1,46.2262,-1,4002.5430,-1
2,3,60000,0.9828,-1,45.9799,-1,4002.8984,-1
3,0,60000,0.9329,-1,45.1996,-1,4003.3359,-1
3,1,60000,0.9701,-1,45.6750,-1,4003.4180,-1
3,2,60000,0.9794,-1,45.7961,-1,4003.7695,-1
3,3,60000,0.9849,-1,46.1625,-1,4004.1133,-1
4,0,60000,0.9359,-1,46.2680,-1,4008.8047,-1
4,1,60000,0.9733,-1,45.6060,-1,4009.2852,-1
4,2,60000,0.9817,-1,46.2213,-1,4009.6094,-1
4,3,60000,0.9865,-1,45.7401,-1,4010.1758,-1
