training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,60000,0.8650,-1,44.7233,-1,4089.9492,-1
0,1,60000,0.9367,-1,44.6254,-1,4090.2383,-1
0,2,60000,0.9539,-1,44.7475,-1,4090.4688,-1
0,3,60000,0.9639,-1,44.4938,-1,4090.6836,-1
1,0,60000,0.8415,-1,46.5990,-1,4096.0312,-1
1,1,60000,0.9103,-1,46.4222,-1,4095.3281,-1
1,2,60000,0.9283,-1,46.5543,-1,4095.5625,-1
1,3,60000,0.9376,-1,46.2662,-1,4095.8047,-1
2,0,60000,0.8632,-1,46.4858,-1,4099.7852,-1
2,1,60000,0.9268,-1,46.4124,-1,4100.0000,-1
2,2,60000,0.9414,-1,46.3952,-1,4100.1680,-1
2,3,60000,0.9513,-1,48.8484,-1,4100.3125,-1
3,0,60000,0.8540,-1,48.8741,-1,4104.3828,-1
3,1,60000,0.9191,-1,48.9908,-1,4100.9648,-1
3,2,60000,0.9351,-1,48.5824,-1,4100.9453,-1
3,3,60000,0.9452,-1,49.0970,-1,4100.9102,-1
4,0,60000,0.8860,-1,46.4005,-1,4103.3594,-1
4,1,60000,0.9408,-1,46.4415,-1,4103.7305,-1
4,2,60000,0.9545,-1,46.5774,-1,4103.8125,-1
4,3,60000,0.9612,-1,46.2593,-1,4104.0781,-1
