training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,60000,0.8647,-1,44.3333,-1,3094.3320,-1
0,1,60000,0.9365,-1,42.5053,-1,3094.8359,-1
0,2,60000,0.9539,-1,44.9445,-1,3095.0469,-1
0,3,60000,0.9640,-1,43.8100,-1,3095.2422,-1
1,0,120000,0.9445,-1,91.9773,-1,3104.9219,-1
1,1,120000,0.9690,-1,91.4955,-1,3105.4219,-1
1,2,120000,0.9771,-1,92.6740,-1,3106.0000,-1
1,3,120000,0.9817,-1,93.6023,-1,3106.6055,-1
2,0,180000,0.9669,-1,139.8900,-1,3119.5273,-1
2,1,180000,0.9820,-1,140.0118,-1,3113.3984,-1
2,2,180000,0.9865,-1,143.8882,-1,3114.2266,-1
2,3,180000,0.9901,-1,142.7583,-1,3115.0078,-1
3,0,240000,0.9778,-1,179.7651,-1,3139.9844,-1
3,1,240000,0.9884,-1,185.5451,-1,3141.3164,-1
3,2,240000,0.9918,-1,178.5901,-1,3142.7031,-1
3,3,240000,0.9944,-1,178.1277,-1,3144.7422,-1
4,0,300000,0.9838,-1,237.6243,-1,3174.4883,-1
4,1,300000,0.9930,-1,235.5506,-1,3172.6250,-1
4,2,300000,0.9956,-1,236.6271,-1,3173.6992,-1
4,3,300000,0.9971,-1,233.4035,-1,3175.2930,-1
