training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,60000,0.8674,-1,44.5646,-1,3162.9062,-1
0,1,60000,0.9378,-1,45.2874,-1,3163.1719,-1
0,2,60000,0.9544,-1,47.6556,-1,3163.3984,-1
0,3,60000,0.9645,-1,44.7321,-1,3163.6172,-1
1,0,60000,0.9432,-1,69.9616,-1,3166.0547,-1
1,1,60000,0.9743,-1,69.0947,-1,3166.4453,-1
1,2,60000,0.9805,-1,71.1638,-1,3166.6484,-1
1,3,60000,0.9844,-1,70.8920,-1,3166.8477,-1
2,0,60000,0.9536,-1,69.4859,-1,3171.2891,-1
2,1,60000,0.9783,-1,69.9669,-1,3171.6719,-1
2,2,60000,0.9837,-1,70.2971,-1,3171.8516,-1
2,3,60000,0.9872,-1,69.4026,-1,3172.0352,-1
3,0,60000,0.9579,-1,70.7181,-1,3176.1406,-1
3,1,60000,0.9808,-1,68.6399,-1,3176.6367,-1
3,2,60000,0.9861,-1,70.2275,-1,3176.8320,-1
3,3,60000,0.9888,-1,70.5638,-1,3177.0156,-1
4,0,60000,0.9602,-1,69.2179,-1,3181.2070,-1
4,1,60000,0.9823,-1,69.9938,-1,3181.4883,-1
4,2,60000,0.9869,-1,70.8198,-1,3181.9219,-1
4,3,60000,0.9901,-1,69.6208,-1,3182.1055,-1
