training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,5000,0.2906,-1,3.5009,-1,3941.7695,-1
0,1,5000,0.3690,-1,2.5548,-1,3941.7695,-1
0,2,5000,0.4044,-1,3.2323,-1,3941.7695,-1
0,3,5000,0.4066,-1,3.4215,-1,3941.7695,-1
0,4,5000,0.4336,-1,3.2404,-1,3941.7695,-1
0,5,5000,0.4386,-1,2.4966,-1,3941.7695,-1
0,6,5000,0.4618,-1,3.1962,-1,3941.7695,-1
0,7,5000,0.4670,-1,3.4070,-1,3941.7695,-1
1,0,10000,0.2774,-1,6.1514,-1,3941.7695,-1
1,1,10000,0.3112,-1,6.3608,-1,3941.7695,-1
1,2,10000,0.3261,-1,6.5183,-1,3941.7695,-1
1,3,10000,0.3406,-1,5.9894,-1,3941.7695,-1
1,4,10000,0.3478,-1,6.1308,-1,3941.7695,-1
1,5,10000,0.3521,-1,6.6992,-1,3941.7695,-1
1,6,10000,0.3658,-1,5.9074,-1,3941.7695,-1
1,7,10000,0.3768,-1,6.3442,-1,3941.7695,-1
2,0,15000,0.2805,-1,9.4920,-1,3941.7695,-1
2,1,15000,0.3068,-1,9.3997,-1,3941.7695,-1
2,2,15000,0.3194,-1,9.4734,-1,3941.7695,-1
2,3,15000,0.3251,-1,9.4224,-1,3941.7695,-1
2,4,15000,0.3352,-1,9.4397,-1,3941.7695,-1
2,5,15000,0.3435,-1,9.4413,-1,3941.7695,-1
2,6,15000,0.3455,-1,9.5568,-1,3941.7695,-1
2,7,15000,0.3514,-1,9.5353,-1,3941.7695,-1
3,0,20000,0.2778,-1,12.4687,-1,3942.2812,-1
3,1,20000,0.2934,-1,12.5573,-1,3942.2812,-1
3,2,20000,0.3041,-1,12.8115,-1,3942.2812,-1
3,3,20000,0.3085,-1,12.9397,-1,3942.5391,-1
3,4,20000,0.3162,-1,12.3160,-1,3942.5391,-1
3,5,20000,0.3202,-1,12.8236,-1,3942.5391,-1
3,6,20000,0.3224,-1,12.9297,-1,3942.7969,-1
3,7,20000,0.3292,-1,12.7504,-1,3942.7969,-1
4,0,25000,0.2767,-1,15.6657,-1,3944.6094,-1
4,1,25000,0.2905,-1,16.1867,-1,3944.6875,-1
4,2,25000,0.2992,-1,15.4275,-1,3945.0117,-1
4,3,25000,0.3038,-1,15.9396,-1,3945.0117,-1
4,4,25000,0.3086,-1,15.5903,-1,3945.0117,-1
4,5,25000,0.3110,-1,15.7547,-1,3945.2695,-1
4,6,25000,0.3156,-1,15.8021,-1,3945.2695,-1
4,7,25000,0.3202,-1,15.5692,-1,3945.5273,-1
5,0,30000,0.2796,-1,18.8986,-1,3947.4336,-1
5,1,30000,0.2962,-1,19.0466,-1,3946.3242,-1
5,2,30000,0.2981,-1,18.8178,-1,3946.3242,-1
5,3,30000,0.3027,-1,18.7872,-1,3946.3242,-1
5,4,30000,0.3070,-1,19.3232,-1,3946.3242,-1
5,5,30000,0.3127,-1,19.2342,-1,3946.3242,-1
5,6,30000,0.3162,-1,18.8301,-1,3946.3242,-1
5,7,30000,0.3167,-1,18.8234,-1,3946.3242,-1
6,0,35000,0.2833,-1,22.3728,-1,3948.2148,-1
6,1,35000,0.2973,-1,21.6065,-1,3948.6562,-1
6,2,35000,0.3015,-1,22.1433,-1,3948.7891,-1
6,3,35000,0.3073,-1,22.2147,-1,3948.9180,-1
6,4,35000,0.3112,-1,22.3782,-1,3949.1758,-1
6,5,35000,0.3140,-1,22.2048,-1,3949.1758,-1
6,6,35000,0.3136,-1,21.9951,-1,3949.4336,-1
6,7,35000,0.3190,-1,21.7309,-1,3949.4336,-1
7,0,40000,0.2829,-1,25.1576,-1,3952.5625,-1
7,1,40000,0.2954,-1,25.4474,-1,3952.6445,-1
7,2,40000,0.2942,-1,25.5226,-1,3952.7734,-1
7,3,40000,0.2997,-1,24.7173,-1,3952.9023,-1
7,4,40000,0.3017,-1,25.6075,-1,3953.1602,-1
7,5,40000,0.3044,-1,24.8124,-1,3953.4141,-1
7,6,40000,0.3069,-1,25.7422,-1,3953.6719,-1
7,7,40000,0.3085,-1,24.8254,-1,3953.6719,-1
8,0,45000,0.2807,-1,28.2984,-1,3956.7812,-1
8,1,45000,0.2879,-1,28.0805,-1,3954.2930,-1
8,2,45000,0.2896,-1,28.8667,-1,3954.2930,-1
8,3,45000,0.2926,-1,28.5755,-1,3954.2930,-1
8,4,45000,0.2954,-1,28.2330,-1,3954.2930,-1
8,5,45000,0.2967,-1,28.4388,-1,3954.2930,-1
8,6,45000,0.3002,-1,28.5777,-1,3954.2930,-1
8,7,45000,0.2956,-1,28.7215,-1,3954.2930,-1
9,0,50000,0.2725,-1,31.7717,-1,3957.4180,-1
9,1,50000,0.2777,-1,31.6673,-1,3957.5938,-1
9,2,50000,0.2813,-1,31.6805,-1,3958.0000,-1
9,3,50000,0.2837,-1,31.2308,-1,3958.1602,-1
9,4,50000,0.2883,-1,31.3971,-1,3958.3242,-1
9,5,50000,0.2897,-1,31.7047,-1,3958.5820,-1
9,6,50000,0.2882,-1,31.5991,-1,3958.8398,-1
9,7,50000,0.2944,-1,31.5752,-1,3959.0977,-1
