training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
0,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
0,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
0,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
0,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
0,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
0,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
0,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
1,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
1,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
1,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
1,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
1,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
1,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
1,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
1,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
2,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
2,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
2,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
2,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
2,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
2,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
2,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
2,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
3,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
3,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
3,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
3,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
3,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
3,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
3,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
3,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
---
4,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
4,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
4,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
4,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
4,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
4,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
4,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
4,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
5,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
5,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
5,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
5,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
5,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
5,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
5,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
5,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
6,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
6,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
6,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
6,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
6,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
6,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
6,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
6,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
7,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
7,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
7,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
7,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
7,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
7,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
7,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
7,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
8,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
8,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
8,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
8,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
8,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
8,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
8,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
8,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
9,0,50000,0.0907,-1,31.8369,-1,3970.5156,-1
9,1,50000,0.1344,-1,30.5282,-1,3969.0156,-1
9,2,50000,0.1570,-1,31.1616,-1,3969.0156,-1
9,3,50000,0.1700,-1,31.9273,-1,3969.0156,-1
9,4,50000,0.1825,-1,34.2250,-1,3969.0156,-1
9,5,50000,0.1942,-1,34.0684,-1,3969.0156,-1
9,6,50000,0.2007,-1,32.5653,-1,3969.0156,-1
9,7,50000,0.2114,-1,31.8665,-1,3969.0156,-1
