training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,5000,0.2970,-1,3.9433,-1,2999.3320,-1
0,1,5000,0.3682,-1,3.0900,-1,2999.3320,-1
0,2,5000,0.3928,-1,3.3638,-1,2999.3320,-1
0,3,5000,0.4130,-1,3.6272,-1,2999.3320,-1
0,4,5000,0.4350,-1,2.9088,-1,2999.3320,-1
0,5,5000,0.4422,-1,3.5125,-1,2999.3320,-1
0,6,5000,0.4630,-1,3.3704,-1,2999.3320,-1
0,7,5000,0.4732,-1,3.1488,-1,2999.3320,-1
1,0,5000,0.1130,-1,3.9849,-1,3000.5977,-1
1,1,5000,0.2000,-1,3.3544,-1,3000.5977,-1
1,2,5000,0.2232,-1,4.0078,-1,3000.5977,-1
1,3,5000,0.2386,-1,3.2472,-1,3000.5977,-1
1,4,5000,0.2510,-1,4.0224,-1,3000.5977,-1
1,5,5000,0.2688,-1,3.4568,-1,3000.5977,-1
1,6,5000,0.2802,-1,3.8741,-1,3000.5977,-1
1,7,5000,0.2856,-1,3.6341,-1,3000.5977,-1
2,0,5000,0.2722,-1,3.7767,-1,3000.5977,-1
2,1,5000,0.3956,-1,3.6848,-1,3000.5977,-1
2,2,5000,0.4280,-1,3.8967,-1,3000.5977,-1
2,3,5000,0.4496,-1,3.3878,-1,3000.5977,-1
2,4,5000,0.4568,-1,4.0776,-1,3000.5977,-1
2,5,5000,0.4716,-1,3.2927,-1,3000.5977,-1
2,6,5000,0.4802,-1,3.9077,-1,3000.5977,-1
2,7,5000,0.4804,-1,3.4817,-1,3000.5977,-1
3,0,5000,0.2524,-1,4.3481,-1,3000.5977,-1
3,1,5000,0.3538,-1,4.6848,-1,3000.5977,-1
3,2,5000,0.3804,-1,4.0804,-1,3000.5977,-1
3,3,5000,0.3988,-1,4.1802,-1,3000.5977,-1
3,4,5000,0.4082,-1,4.3033,-1,3000.5977,-1
3,5,5000,0.4188,-1,3.7022,-1,3000.5977,-1
3,6,5000,0.4276,-1,4.1280,-1,3000.5977,-1
3,7,5000,0.4462,-1,3.5355,-1,3000.5977,-1
4,0,5000,0.2574,-1,3.8197,-1,3000.5977,-1
4,1,5000,0.3844,-1,3.5767,-1,3000.5977,-1
4,2,5000,0.4006,-1,3.4952,-1,3000.5977,-1
4,3,5000,0.4228,-1,4.0465,-1,3000.5977,-1
4,4,5000,0.4396,-1,3.3810,-1,3000.5977,-1
4,5,5000,0.4520,-1,3.7053,-1,3000.5977,-1
4,6,5000,0.4522,-1,3.7813,-1,3000.5977,-1
4,7,5000,0.4658,-1,3.4148,-1,3000.5977,-1
5,0,5000,0.2810,-1,3.8765,-1,3000.5977,-1
5,1,5000,0.4082,-1,3.5222,-1,3000.5977,-1
5,2,5000,0.4334,-1,4.0427,-1,3000.5977,-1
5,3,5000,0.4568,-1,3.7869,-1,3000.5977,-1
5,4,5000,0.4634,-1,3.2814,-1,3000.5977,-1
5,5,5000,0.4768,-1,3.9361,-1,3000.5977,-1
5,6,5000,0.4896,-1,3.3058,-1,3000.5977,-1
5,7,5000,0.4992,-1,3.7832,-1,3000.5977,-1
6,0,5000,0.3094,-1,3.2147,-1,3000.5977,-1
6,1,5000,0.4298,-1,3.9340,-1,3000.5977,-1
6,2,5000,0.4588,-1,3.2884,-1,3000.5977,-1
6,3,5000,0.4758,-1,3.6739,-1,3000.5977,-1
6,4,5000,0.4800,-1,3.8048,-1,3000.5977,-1
6,5,5000,0.4908,-1,3.3304,-1,3000.5977,-1
6,6,5000,0.5046,-1,3.9582,-1,3000.5977,-1
6,7,5000,0.5142,-1,3.2772,-1,3000.5977,-1
7,0,5000,0.2682,-1,3.6371,-1,3000.5977,-1
7,1,5000,0.3892,-1,3.5525,-1,3000.5977,-1
7,2,5000,0.4162,-1,4.0012,-1,3000.5977,-1
7,3,5000,0.4416,-1,3.2111,-1,3000.5977,-1
7,4,5000,0.4454,-1,3.9754,-1,3000.5977,-1
7,5,5000,0.4548,-1,3.2077,-1,3000.5977,-1
7,6,5000,0.4716,-1,4.2101,-1,3000.5977,-1
7,7,5000,0.4856,-1,3.7524,-1,3000.5977,-1
8,0,5000,0.2418,-1,4.4446,-1,3000.5977,-1
8,1,5000,0.3568,-1,3.9138,-1,3000.5977,-1
8,2,5000,0.3940,-1,4.6946,-1,3000.5977,-1
8,3,5000,0.4142,-1,4.4237,-1,3000.5977,-1
8,4,5000,0.4164,-1,3.6632,-1,3000.5977,-1
8,5,5000,0.4220,-1,4.3265,-1,3000.5977,-1
8,6,5000,0.4282,-1,3.4246,-1,3000.5977,-1
8,7,5000,0.4334,-1,4.2492,-1,3000.5977,-1
9,0,5000,0.2982,-1,4.2364,-1,3000.5977,-1
9,1,5000,0.4398,-1,3.6448,-1,3000.5977,-1
9,2,5000,0.4744,-1,4.1675,-1,3000.5977,-1
9,3,5000,0.4884,-1,3.5153,-1,3000.5977,-1
9,4,5000,0.5016,-1,4.2510,-1,3000.5977,-1
9,5,5000,0.5180,-1,3.7064,-1,3000.5977,-1
9,6,5000,0.5208,-1,4.0030,-1,3000.5977,-1
9,7,5000,0.5210,-1,4.2310,-1,3000.5977,-1
