training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,5000,0.2906,-1,2.8922,-1,3701.8477,-1
0,1,5000,0.3656,-1,3.1254,-1,3701.8477,-1
0,2,5000,0.3996,-1,3.5389,-1,3701.8477,-1
0,3,5000,0.4256,-1,3.0578,-1,3701.8477,-1
0,4,5000,0.4320,-1,3.2368,-1,3701.8477,-1
0,5,5000,0.4424,-1,3.5406,-1,3701.8477,-1
0,6,5000,0.4608,-1,2.7890,-1,3701.8477,-1
0,7,5000,0.4756,-1,3.2923,-1,3701.8477,-1
1,0,5000,0.2756,-1,5.7025,-1,3701.8477,-1
1,1,5000,0.3175,-1,5.5830,-1,3701.8477,-1
1,2,5000,0.3415,-1,5.6178,-1,3701.8477,-1
1,3,5000,0.3631,-1,5.5234,-1,3701.8477,-1
1,4,5000,0.3746,-1,5.4961,-1,3701.8477,-1
1,5,5000,0.3924,-1,5.5182,-1,3701.8477,-1
1,6,5000,0.3985,-1,5.6409,-1,3701.8477,-1
1,7,5000,0.4140,-1,5.6155,-1,3701.8477,-1
2,0,5000,0.2788,-1,5.8974,-1,3701.8477,-1
2,1,5000,0.3332,-1,6.3632,-1,3701.8477,-1
2,2,5000,0.3577,-1,5.6654,-1,3701.8477,-1
2,3,5000,0.3735,-1,5.4475,-1,3701.8477,-1
2,4,5000,0.3912,-1,5.2554,-1,3701.8477,-1
2,5,5000,0.4044,-1,5.1568,-1,3701.8477,-1
2,6,5000,0.4125,-1,5.2267,-1,3701.8477,-1
2,7,5000,0.4233,-1,5.3262,-1,3701.8477,-1
3,0,5000,0.2987,-1,5.5561,-1,3701.8477,-1
3,1,5000,0.3507,-1,5.2624,-1,3701.8477,-1
3,2,5000,0.3637,-1,5.5071,-1,3701.8477,-1
3,3,5000,0.3875,-1,5.7553,-1,3701.8477,-1
3,4,5000,0.4049,-1,5.3852,-1,3701.8477,-1
3,5,5000,0.4067,-1,5.4124,-1,3701.8477,-1
3,6,5000,0.4200,-1,5.2243,-1,3701.8477,-1
3,7,5000,0.4300,-1,5.4456,-1,3701.8477,-1
4,0,5000,0.3167,-1,5.7624,-1,3701.8477,-1
4,1,5000,0.3818,-1,5.3817,-1,3701.8477,-1
4,2,5000,0.4083,-1,5.1757,-1,3701.8477,-1
4,3,5000,0.4213,-1,5.0985,-1,3701.8477,-1
4,4,5000,0.4389,-1,5.2249,-1,3701.8477,-1
4,5,5000,0.4518,-1,5.3247,-1,3701.8477,-1
4,6,5000,0.4619,-1,5.3448,-1,3701.8477,-1
4,7,5000,0.4686,-1,5.1808,-1,3701.8477,-1
5,0,5000,0.3666,-1,5.5327,-1,3701.8477,-1
5,1,5000,0.4298,-1,5.4194,-1,3701.8477,-1
5,2,5000,0.4496,-1,5.3454,-1,3701.8477,-1
5,3,5000,0.4736,-1,5.3203,-1,3701.8477,-1
5,4,5000,0.4852,-1,5.2585,-1,3701.8477,-1
5,5,5000,0.5028,-1,5.3330,-1,3701.8477,-1
5,6,5000,0.5122,-1,5.2178,-1,3701.8477,-1
5,7,5000,0.5388,-1,5.3156,-1,3701.8477,-1
6,0,5000,0.4124,-1,5.5116,-1,3701.8477,-1
6,1,5000,0.4730,-1,5.3319,-1,3701.8477,-1
6,2,5000,0.5036,-1,5.3581,-1,3701.8477,-1
6,3,5000,0.5280,-1,5.4204,-1,3701.8477,-1
6,4,5000,0.5465,-1,5.2528,-1,3701.8477,-1
6,5,5000,0.5516,-1,5.2645,-1,3701.8477,-1
6,6,5000,0.5608,-1,5.2565,-1,3701.8477,-1
6,7,5000,0.5790,-1,5.1841,-1,3701.8477,-1
7,0,5000,0.4270,-1,5.4935,-1,3701.8477,-1
7,1,5000,0.4972,-1,5.9020,-1,3701.8477,-1
7,2,5000,0.5151,-1,5.5243,-1,3701.8477,-1
7,3,5000,0.5372,-1,5.4350,-1,3701.8477,-1
7,4,5000,0.5425,-1,5.2786,-1,3701.8477,-1
7,5,5000,0.5609,-1,5.3232,-1,3701.8477,-1
7,6,5000,0.5709,-1,5.3510,-1,3701.8477,-1
7,7,5000,0.5811,-1,5.2975,-1,3701.8477,-1
8,0,5000,0.4348,-1,5.7006,-1,3701.8477,-1
8,1,5000,0.4972,-1,5.6429,-1,3701.8477,-1
8,2,5000,0.5391,-1,5.5439,-1,3701.8477,-1
8,3,5000,0.5401,-1,5.4972,-1,3701.8477,-1
8,4,5000,0.5556,-1,5.4622,-1,3701.8477,-1
8,5,5000,0.5677,-1,5.4921,-1,3701.8477,-1
8,6,5000,0.5766,-1,5.6426,-1,3701.8477,-1
8,7,5000,0.5896,-1,5.5111,-1,3701.8477,-1
9,0,5000,0.4740,-1,5.6473,-1,3701.8477,-1
9,1,5000,0.5522,-1,5.6077,-1,3701.8477,-1
9,2,5000,0.5760,-1,5.5494,-1,3701.8477,-1
9,3,5000,0.6023,-1,5.4996,-1,3701.8477,-1
9,4,5000,0.6051,-1,5.4383,-1,3701.8477,-1
9,5,5000,0.6168,-1,5.6453,-1,3701.8477,-1
9,6,5000,0.6283,-1,5.6170,-1,3701.8477,-1
9,7,5000,0.6389,-1,5.4940,-1,3701.8477,-1
