training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,5000,0.2946,-1,3.5259,-1,3939.1445,-1
0,1,5000,0.3604,-1,2.5178,-1,3939.1445,-1
0,2,5000,0.4000,-1,3.2742,-1,3939.1445,-1
0,3,5000,0.4220,-1,3.4053,-1,3939.1445,-1
0,4,5000,0.4314,-1,2.9627,-1,3939.1445,-1
0,5,5000,0.4544,-1,2.8963,-1,3939.3984,-1
0,6,5000,0.4572,-1,3.2208,-1,3939.3984,-1
0,7,5000,0.4742,-1,3.4057,-1,3939.3984,-1
1,0,5000,0.2406,-1,3.3428,-1,3939.3984,-1
1,1,5000,0.3634,-1,2.6545,-1,3939.6562,-1
1,2,5000,0.3964,-1,3.1797,-1,3939.6562,-1
1,3,5000,0.4092,-1,3.4027,-1,3939.6562,-1
1,4,5000,0.4350,-1,3.1562,-1,3939.6562,-1
1,5,5000,0.4382,-1,2.7718,-1,3939.6562,-1
1,6,5000,0.4446,-1,3.2520,-1,3939.6562,-1
1,7,5000,0.4550,-1,3.4037,-1,3939.6562,-1
2,0,5000,0.2948,-1,3.3520,-1,3939.9141,-1
2,1,5000,0.4204,-1,2.7872,-1,3939.9141,-1
2,2,5000,0.4530,-1,2.9900,-1,3939.9141,-1
2,3,5000,0.4812,-1,3.3165,-1,3939.9141,-1
2,4,5000,0.4948,-1,3.3800,-1,3939.9141,-1
2,5,5000,0.4918,-1,2.6196,-1,3939.9141,-1
2,6,5000,0.5088,-1,2.8297,-1,3939.9141,-1
2,7,5000,0.5154,-1,3.2996,-1,3939.9141,-1
3,0,5000,0.3090,-1,3.2211,-1,3939.9141,-1
3,1,5000,0.4344,-1,2.6681,-1,3939.9141,-1
3,2,5000,0.4680,-1,3.2250,-1,3939.9141,-1
3,3,5000,0.4772,-1,3.3426,-1,3939.9141,-1
3,4,5000,0.4842,-1,2.6949,-1,3940.1719,-1
3,5,5000,0.5012,-1,3.0871,-1,3940.1719,-1
3,6,5000,0.4988,-1,3.4332,-1,3940.1719,-1
3,7,5000,0.5166,-1,3.2389,-1,3940.1719,-1
4,0,5000,0.3204,-1,3.4342,-1,3940.1719,-1
4,1,5000,0.4558,-1,2.6572,-1,3940.4258,-1
4,2,5000,0.4720,-1,3.1125,-1,3940.6836,-1
4,3,5000,0.4968,-1,3.4184,-1,3940.6836,-1
4,4,5000,0.5086,-1,3.1815,-1,3940.6836,-1
4,5,5000,0.5218,-1,2.5599,-1,3940.6836,-1
4,6,5000,0.5248,-1,3.2642,-1,3940.6836,-1
4,7,5000,0.5368,-1,3.4138,-1,3940.6836,-1
5,0,5000,0.3494,-1,3.3396,-1,3940.6836,-1
5,1,5000,0.4916,-1,2.8036,-1,3940.6836,-1
5,2,5000,0.5224,-1,2.9867,-1,3940.6836,-1
5,3,5000,0.5344,-1,3.2539,-1,3940.6836,-1
5,4,5000,0.5536,-1,3.3611,-1,3940.6836,-1
5,5,5000,0.5530,-1,2.6902,-1,3940.6836,-1
5,6,5000,0.5618,-1,3.0609,-1,3940.9414,-1
5,7,5000,0.5768,-1,3.2169,-1,3940.9414,-1
6,0,5000,0.3622,-1,2.6871,-1,3940.9414,-1
6,1,5000,0.4934,-1,3.2473,-1,3940.9414,-1
6,2,5000,0.5178,-1,3.4148,-1,3940.9414,-1
6,3,5000,0.5298,-1,3.1258,-1,3940.9414,-1
6,4,5000,0.5482,-1,2.6485,-1,3941.1992,-1
6,5,5000,0.5626,-1,3.2653,-1,3941.1992,-1
6,6,5000,0.5676,-1,3.4026,-1,3941.1992,-1
6,7,5000,0.5678,-1,3.1535,-1,3941.1992,-1
7,0,5000,0.3182,-1,2.5916,-1,3941.1992,-1
7,1,5000,0.4678,-1,3.2016,-1,3941.1992,-1
7,2,5000,0.4956,-1,3.4340,-1,3941.1992,-1
7,3,5000,0.5010,-1,3.2185,-1,3941.1992,-1
7,4,5000,0.5178,-1,2.5241,-1,3941.1992,-1
7,5,5000,0.5340,-1,3.2467,-1,3941.1992,-1
7,6,5000,0.5380,-1,3.4078,-1,3941.1992,-1
7,7,5000,0.5448,-1,3.2205,-1,3941.1992,-1
8,0,5000,0.3076,-1,2.7551,-1,3941.4570,-1
8,1,5000,0.4250,-1,3.2077,-1,3941.4570,-1
8,2,5000,0.4604,-1,3.3605,-1,3941.4570,-1
8,3,5000,0.4808,-1,3.2418,-1,3941.4570,-1
8,4,5000,0.4878,-1,3.5742,-1,3941.4570,-1
8,5,5000,0.5070,-1,3.5183,-1,3941.4570,-1
8,6,5000,0.5162,-1,3.6172,-1,3941.4570,-1
8,7,5000,0.5100,-1,3.4822,-1,3941.4570,-1
9,0,5000,0.3612,-1,3.5105,-1,3941.7148,-1
9,1,5000,0.5214,-1,2.8220,-1,3941.7148,-1
9,2,5000,0.5494,-1,3.3812,-1,3941.7148,-1
9,3,5000,0.5684,-1,3.2052,-1,3941.7148,-1
9,4,5000,0.5776,-1,3.7377,-1,3941.7148,-1
9,5,5000,0.5972,-1,3.3258,-1,3941.7148,-1
9,6,5000,0.5976,-1,2.5337,-1,3941.7148,-1
9,7,5000,0.5972,-1,3.1926,-1,3941.7148,-1
