,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,0.0433,0.0463,0.2016,0.0458,0.0469,0.046400000000000004
1,0,0.046200000000000005,0.045700000000000005,0.1988,0.0469,0.0453,0.046700000000000005
2,0,0.044,0.0451,0.202,0.0459,0.045200000000000004,0.0469
3,1,0.0477,0.0733,0.2016,0.0699,0.0712,0.0633
4,1,0.0477,0.0736,0.1988,0.06570000000000001,0.0708,0.062
5,1,0.0475,0.0703,0.202,0.06899999999999999,0.0719,0.0643
6,2,0.05,0.10310000000000001,0.2016,0.0837,0.0903,0.06739999999999999
7,2,0.0507,0.10179999999999997,0.1988,0.08859999999999998,0.0947,0.06810000000000001
8,2,0.0513,0.10430000000000002,0.202,0.0876,0.0949,0.0663
9,3,0.0499,0.12090000000000001,0.2016,0.093,0.1081,0.07709999999999999
10,3,0.0486,0.1224,0.1988,0.0959,0.10729999999999999,0.06810000000000001
11,3,0.0503,0.1234,0.202,0.0956,0.11080000000000001,0.0702
12,4,0.0481,0.1434,0.2016,0.0926,0.1102,0.0716
13,4,0.0538,0.1424,0.1988,0.0972,0.1121,0.06570000000000001
14,4,0.0534,0.1406,0.202,0.0951,0.1155,0.0692
15,5,0.053500000000000006,0.16340000000000002,0.2016,0.0948,0.1262,0.075
16,5,0.0501,0.17049999999999998,0.1988,0.10049999999999999,0.12349999999999998,0.0709
17,5,0.0529,0.1693,0.202,0.1002,0.1272,0.0712
18,6,0.054400000000000004,0.19090000000000001,0.2016,0.1133,0.14489999999999997,0.0819
19,6,0.05550000000000001,0.1926,0.1988,0.12040000000000002,0.14420000000000002,0.0785
20,6,0.055400000000000005,0.1933,0.202,0.11869999999999999,0.1498,0.0817
21,7,0.0517,0.21220000000000003,0.2016,0.1122,0.1526,0.0754
22,7,0.0536,0.2124,0.1988,0.1216,0.1541,0.0709
23,7,0.054200000000000005,0.2131,0.202,0.1186,0.1547,0.0723
24,8,0.0438,0.22610000000000002,0.2016,0.11080000000000001,0.1517,0.0702
25,8,0.0465,0.22210000000000002,0.1988,0.1135,0.1592,0.07089999999999999
26,8,0.047299999999999995,0.2318,0.202,0.1143,0.1595,0.06999999999999999
27,9,0.0578,0.23700000000000002,0.2016,0.1099,0.1524,0.0718
28,9,0.057699999999999994,0.2326,0.1988,0.10759999999999999,0.16460000000000002,0.0705
29,9,0.0551,0.2378,0.202,0.1069,0.1634,0.07150000000000001
