training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9874,0,5.6353,0,3750.6445,0
0,1,12665,0.9981,0,5.6808,0,3750.6445,0
0,2,12665,0.9987,0,5.8710,0,3750.6445,0
0,3,12665,0.9988,0,5.6108,0,3750.6445,0
0,4,12665,0.9989,0,5.8108,0,3750.6445,0
0,5,12665,0.9991,0,5.5552,0,3750.6445,0
0,6,12665,0.9991,0,5.4877,0,3750.6445,0
0,7,12665,0.9993,0,5.5565,0,3750.6484,0
1,0,24754,0.9525,0,11.0403,0,3750.6484,0
1,1,24754,0.9744,0,11.0973,0,3750.6523,0
1,2,24754,0.9788,0,11.3866,0,3750.6836,0
1,3,24754,0.9824,0,11.3936,0,3750.6836,0
1,4,24754,0.9853,0,11.3615,0,3750.6836,0
1,5,24754,0.9872,0,12.2819,0,3750.6836,0
1,6,24754,0.9884,0,11.5564,0,3750.6836,0
1,7,24754,0.9901,0,10.8771,0,3750.6836,0
2,0,36017,0.9525,0,15.8395,0,3752.9844,0
2,1,36017,0.9757,0,15.2653,0,3753.1914,0
2,2,36017,0.9807,0,15.8179,0,3753.3125,0
2,3,36017,0.9837,0,15.5559,0,3753.4297,0
2,4,36017,0.9861,0,16.1683,0,3753.6797,0
2,5,36017,0.9884,0,16.2895,0,3753.6797,0
2,6,36017,0.9899,0,15.9309,0,3753.9375,0
2,7,36017,0.9908,0,15.5637,0,3753.9375,0
3,0,48200,0.9687,0,21.6645,0,3757.5664,0
3,1,48200,0.9819,0,21.7662,0,3757.6562,0
3,2,48200,0.9842,0,21.0417,0,3758.0586,0
3,3,48200,0.9869,0,21.4344,0,3758.1992,0
3,4,48200,0.9880,0,20.7454,0,3758.3477,0
3,5,48200,0.9897,0,21.9950,0,3758.6055,0
3,6,48200,0.9907,0,20.5892,0,3758.8633,0
3,7,48200,0.9918,0,20.5657,0,3758.8633,0
4,0,60000,0.9614,0,26.9978,0,3763.0977,0
4,1,60000,0.9746,0,26.9184,0,3763.6016,0
4,2,60000,0.9789,0,25.9849,0,3763.7734,0
4,3,60000,0.9820,0,25.7346,0,3760.3633,0
4,4,60000,0.9841,0,25.9484,0,3760.3633,0
4,5,60000,0.9863,0,26.7937,0,3760.3633,0
4,6,60000,0.9880,0,27.0417,0,3760.3633,0
4,7,60000,0.9895,0,27.0698,0,3760.3633,0
