training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9888,-1,5.2604,-1,4094.8047,-1
0,1,12665,0.9982,-1,5.2955,-1,4094.8047,-1
0,2,12665,0.9983,-1,5.2739,-1,4094.8047,-1
0,3,12665,0.9987,-1,5.2860,-1,4095.0625,-1
0,4,12665,0.9990,-1,5.2759,-1,4095.0625,-1
0,5,12665,0.9991,-1,5.2593,-1,4095.0625,-1
0,6,12665,0.9992,-1,5.3933,-1,4095.0625,-1
0,7,12665,0.9992,-1,5.4277,-1,4095.0625,-1
1,0,12089,0.9327,-1,7.3002,-1,4095.8398,-1
1,1,12089,0.9674,-1,7.3254,-1,4095.8398,-1
1,2,12089,0.9724,-1,7.2956,-1,4095.8398,-1
1,3,12089,0.9761,-1,7.3603,-1,4096.0977,-1
1,4,12089,0.9790,-1,7.3292,-1,4096.0977,-1
1,5,12089,0.9812,-1,7.3235,-1,4096.0977,-1
1,6,12089,0.9838,-1,7.3259,-1,4096.0977,-1
1,7,12089,0.9850,-1,7.5185,-1,4096.3555,-1
2,0,11263,0.9132,-1,6.8682,-1,4097.1289,-1
2,1,11263,0.9655,-1,6.8541,-1,4097.1289,-1
2,2,11263,0.9736,-1,6.8710,-1,4097.1289,-1
2,3,11263,0.9774,-1,6.8441,-1,4097.1289,-1
2,4,11263,0.9810,-1,6.8293,-1,4097.3867,-1
2,5,11263,0.9839,-1,6.8590,-1,4097.3867,-1
2,6,11263,0.9854,-1,6.8697,-1,4097.3867,-1
2,7,11263,0.9874,-1,6.8194,-1,4097.3867,-1
3,0,12183,0.9274,-1,7.7741,-1,4098.1602,-1
3,1,12183,0.9724,-1,7.7530,-1,4098.1602,-1
3,2,12183,0.9791,-1,7.8450,-1,4098.1602,-1
3,3,12183,0.9827,-1,7.7611,-1,4098.1602,-1
3,4,12183,0.9847,-1,7.8546,-1,4098.1602,-1
3,5,12183,0.9868,-1,7.8009,-1,4098.4180,-1
3,6,12183,0.9879,-1,7.8326,-1,4098.4180,-1
3,7,12183,0.9896,-1,7.8415,-1,4098.4180,-1
4,0,11800,0.9021,-1,7.5455,-1,4098.9336,-1
4,1,11800,0.9519,-1,7.6133,-1,4098.9336,-1
4,2,11800,0.9599,-1,7.5913,-1,4099.1914,-1
4,3,11800,0.9675,-1,7.5459,-1,4099.1914,-1
4,4,11800,0.9719,-1,7.5764,-1,4099.1914,-1
4,5,11800,0.9764,-1,7.5931,-1,4099.1914,-1
4,6,11800,0.9798,-1,7.5717,-1,4099.1914,-1
4,7,11800,0.9824,-1,7.6150,-1,4099.1914,-1
