training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9889,0,5.2671,0,3729.3164,0
0,1,12665,0.9980,0,5.2347,0,3729.3164,0
0,2,12665,0.9983,0,5.2342,0,3729.3164,0
0,3,12665,0.9986,0,5.2015,0,3729.3164,0
0,4,12665,0.9988,0,5.2530,0,3729.5742,0
0,5,12665,0.9990,0,5.2359,0,3729.5742,0
0,6,12665,0.9991,0,5.2246,0,3729.5742,0
0,7,12665,0.9991,0,5.2113,0,3729.5742,0
1,0,12089,0.9320,0,5.0143,0,3729.8320,0
1,1,12089,0.9743,0,4.9834,0,3729.8320,0
1,2,12089,0.9782,0,4.9693,0,3729.8320,0
1,3,12089,0.9811,0,4.9579,0,3729.8320,0
1,4,12089,0.9845,0,5.0135,0,3729.8320,0
1,5,12089,0.9869,0,5.1356,0,3729.8320,0
1,6,12089,0.9890,0,6.3398,0,3729.8320,0
1,7,12089,0.9905,0,6.4346,0,3729.8320,0
2,0,11263,0.9406,0,5.4442,0,3730.3477,0
2,1,11263,0.9913,0,5.6034,0,3730.3477,0
2,2,11263,0.9932,0,5.2086,0,3730.3477,0
2,3,11263,0.9944,0,4.8072,0,3730.3477,0
2,4,11263,0.9950,0,4.8384,0,3730.3477,0
2,5,11263,0.9956,0,4.8352,0,3730.3477,0
2,6,11263,0.9957,0,4.8082,0,3730.6055,0
2,7,11263,0.9966,0,4.8286,0,3730.6055,0
3,0,12183,0.9562,0,5.2268,0,3730.8633,0
3,1,12183,0.9975,0,5.1537,0,3731.1211,0
3,2,12183,0.9982,0,5.1950,0,3731.1211,0
3,3,12183,0.9985,0,5.0865,0,3731.1211,0
3,4,12183,0.9987,0,5.2505,0,3731.1211,0
3,5,12183,0.9988,0,5.2838,0,3731.1211,0
3,6,12183,0.9989,0,5.5112,0,3731.3789,0
3,7,12183,0.9989,0,5.6506,0,3731.3789,0
4,0,11800,0.9282,0,4.8348,0,3731.6367,0
4,1,11800,0.9807,0,4.9607,0,3731.8945,0
4,2,11800,0.9847,0,4.9939,0,3731.8945,0
4,3,11800,0.9867,0,5.0590,0,3731.8945,0
4,4,11800,0.9881,0,5.1556,0,3732.1484,0
4,5,11800,0.9897,0,5.1263,0,3732.1484,0
4,6,11800,0.9907,0,5.1461,0,3732.4062,0
4,7,11800,0.9910,0,5.1407,0,3732.4062,0
