training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,12665,0.9844,0,5.4273,0,3967.6367,0
0,1,12665,0.9979,0,5.3964,0,3967.6367,0
0,2,12665,0.9983,0,5.3189,0,3967.6367,0
0,3,12665,0.9987,0,5.3300,0,3967.6367,0
0,4,12665,0.9991,0,5.2792,0,3967.6367,0
0,5,12665,0.9991,0,5.2852,0,3967.6367,0
0,6,12665,0.9990,0,5.2849,0,3967.6367,0
0,7,12665,0.9992,0,5.2750,0,3967.6367,0
1,0,12089,0.5847,0,5.8440,0,3967.6367,0
1,1,12089,0.6201,0,5.6819,0,3967.6367,0
1,2,12089,0.6364,0,5.5254,0,3967.6367,0
1,3,12089,0.6405,0,5.5413,0,3967.6367,0
1,4,12089,0.6461,0,5.5360,0,3967.6367,0
1,5,12089,0.6510,0,5.5365,0,3967.6367,0
1,6,12089,0.6658,0,5.4943,0,3967.6367,0
1,7,12089,0.6684,0,5.5425,0,3967.6367,0
2,0,11263,0.8783,0,5.2772,0,3967.6367,0
2,1,11263,0.9566,0,5.3632,0,3967.6367,0
2,2,11263,0.9725,0,5.3594,0,3967.6367,0
2,3,11263,0.9794,0,5.4061,0,3967.6367,0
2,4,11263,0.9839,0,5.5079,0,3967.6367,0
2,5,11263,0.9863,0,5.5016,0,3967.6367,0
2,6,11263,0.9889,0,5.1869,0,3967.6367,0
2,7,11263,0.9899,0,5.1994,0,3967.6367,0
3,0,12183,0.8615,0,5.6581,0,3967.6367,0
3,1,12183,0.9570,0,5.5707,0,3967.6367,0
3,2,12183,0.9714,0,5.5691,0,3967.6367,0
3,3,12183,0.9802,0,5.5896,0,3967.6367,0
3,4,12183,0.9838,0,5.6087,0,3967.6367,0
3,5,12183,0.9879,0,5.7336,0,3967.6367,0
3,6,12183,0.9888,0,6.0892,0,3967.6367,0
3,7,12183,0.9903,0,5.9651,0,3967.6367,0
4,0,11800,0.8381,0,5.8714,0,3967.6367,0
4,1,11800,0.9159,0,6.0647,0,3967.6367,0
4,2,11800,0.9343,0,6.0755,0,3967.6367,0
4,3,11800,0.9488,0,6.0478,0,3967.6367,0
4,4,11800,0.9569,0,6.0441,0,3967.6367,0
4,5,11800,0.9634,0,6.0509,0,3967.6367,0
4,6,11800,0.9664,0,6.0951,0,3967.6367,0
4,7,11800,0.9705,0,6.0792,0,3967.6367,0
