,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,1,-0.6001,-0.79934,-1.0,-0.7971600000000001,-0.79886,-0.77796
0,1,-0.60018,-0.79934,-1.0,-0.79678,-0.7984,-0.77796
0,1,-0.60018,-0.79934,-1.0,-0.79782,-0.79924,-0.7706
0,2,-0.20215999999999998,-0.5980800000000001,-1.0,-0.57724,-0.59078,-0.35424
0,2,-0.20174000000000003,-0.5980800000000001,-1.0,-0.57682,-0.5917399999999999,-0.356
0,2,-0.20214,-0.59886,-1.0,-0.57794,-0.59166,-0.3577
0,3,0.19729999999999998,-0.3978,-1.0,-0.35378,-0.38296,-0.026719999999999987
0,3,0.19751999999999992,-0.39714,-1.0,-0.3527,-0.37784,-0.028279999999999993
0,3,0.19711999999999996,-0.39862000000000003,-1.0,-0.35448,-0.38004,-0.03727999999999998
0,4,0.59642,-0.19483999999999999,-1.0,-0.09832,-0.15816,0.4324
0,4,0.59692,-0.19462,-1.0,-0.09054,-0.15567999999999999,0.41778000000000004
0,4,0.59652,-0.1945,-1.0,-0.09730000000000001,-0.15748,0.41041999999999995
