,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,12665.0,12665.0,60000.0,12665.0,12665.0,12665.0
0,0,12665.0,12665.0,60000.0,12665.0,12665.0,12665.0
0,0,12665.0,12665.0,60000.0,12665.0,12665.0,12665.0
0,1,12089.0,24754.0,60000.0,12089.0,12089.0,12089.0
0,1,12089.0,24754.0,60000.0,12089.0,12089.0,12089.0
0,1,12089.0,24754.0,60000.0,12089.0,12089.0,12089.0
0,2,11263.0,36017.0,60000.0,11263.0,11263.0,11263.0
0,2,11263.0,36017.0,60000.0,11263.0,11263.0,11263.0
0,2,11263.0,36017.0,60000.0,11263.0,11263.0,11263.0
0,3,12183.0,48200.0,60000.0,12183.0,12183.0,12183.0
0,3,12183.0,48200.0,60000.0,12183.0,12183.0,12183.0
0,3,12183.0,48200.0,60000.0,12183.0,12183.0,12183.0
0,4,11800.0,60000.0,60000.0,11800.0,11800.0,11800.0
0,4,11800.0,60000.0,60000.0,11800.0,11800.0,11800.0
0,4,11800.0,60000.0,60000.0,11800.0,11800.0,11800.0
