training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2030,-1,7.5443,-1,3635.8945,-1
0,1,10000,0.3175,-1,5.8957,-1,3635.9531,-1
0,2,10000,0.3618,-1,6.1759,-1,3635.9531,-1
0,3,10000,0.4152,-1,6.1922,-1,3635.9531,-1
0,4,10000,0.4621,-1,6.3411,-1,3635.9531,-1
0,5,10000,0.5065,-1,6.1631,-1,3635.9531,-1
0,6,10000,0.5462,-1,6.1803,-1,3635.9531,-1
0,7,10000,0.5889,-1,6.1655,-1,3635.9531,-1
0,8,10000,0.6252,-1,6.1806,-1,3635.9531,-1
0,9,10000,0.6570,-1,6.3903,-1,3635.8750,-1
1,0,20000,0.4529,-1,13.2925,-1,3638.7031,-1
1,1,20000,0.4972,-1,12.9909,-1,3638.9609,-1
1,2,20000,0.5259,-1,12.7814,-1,3638.9609,-1
1,3,20000,0.5524,-1,13.8113,-1,3638.9609,-1
1,4,20000,0.5758,-1,14.1429,-1,3638.9609,-1
1,5,20000,0.6018,-1,13.2293,-1,3638.9609,-1
1,6,20000,0.6293,-1,14.4570,-1,3638.9609,-1
1,7,20000,0.6461,-1,14.0344,-1,3638.9609,-1
1,8,20000,0.6673,-1,14.1868,-1,3638.9609,-1
1,9,20000,0.6666,-1,14.1794,-1,3628.9297,-1
2,0,30000,0.5430,-1,21.2901,-1,3634.9023,-1
2,1,30000,0.5759,-1,20.7262,-1,3635.1602,-1
2,2,30000,0.5881,-1,20.4764,-1,3635.1602,-1
2,3,30000,0.5922,-1,19.8979,-1,3635.1602,-1
2,4,30000,0.6113,-1,20.5280,-1,3635.1602,-1
2,5,30000,0.6214,-1,20.3863,-1,3635.1602,-1
2,6,30000,0.6366,-1,20.6693,-1,3635.5469,-1
2,7,30000,0.6555,-1,20.6538,-1,3635.5469,-1
2,8,30000,0.6594,-1,20.4375,-1,3635.5469,-1
2,9,30000,0.6781,-1,19.8222,-1,3635.5469,-1
3,0,40000,0.5840,-1,27.8522,-1,3640.1484,-1
3,1,40000,0.6121,-1,28.1135,-1,3640.3164,-1
3,2,40000,0.6202,-1,27.8071,-1,3640.3164,-1
3,3,40000,0.6361,-1,27.1131,-1,3640.1055,-1
3,4,40000,0.6456,-1,27.5113,-1,3640.1055,-1
3,5,40000,0.6514,-1,26.4124,-1,3640.0273,-1
3,6,40000,0.6727,-1,27.8867,-1,3639.9219,-1
3,7,40000,0.6859,-1,27.1645,-1,3639.9219,-1
3,8,40000,0.6912,-1,27.3881,-1,3631.2227,-1
3,9,40000,0.6982,-1,26.7360,-1,3631.2227,-1
4,0,50000,0.6110,-1,34.1713,-1,3635.4062,-1
4,1,50000,0.6234,-1,34.3780,-1,3635.2461,-1
4,2,50000,0.6325,-1,34.4792,-1,3635.2461,-1
4,3,50000,0.6507,-1,34.8431,-1,3635.1758,-1
4,4,50000,0.6523,-1,33.4529,-1,3635.1758,-1
4,5,50000,0.6532,-1,34.8162,-1,3635.1055,-1
4,6,50000,0.6606,-1,34.0392,-1,3635.1055,-1
4,7,50000,0.6730,-1,35.8734,-1,3635.0352,-1
4,8,50000,0.6751,-1,35.2296,-1,3635.0352,-1
4,9,50000,0.6827,-1,35.2650,-1,3634.9648,-1
5,0,60000,0.6199,-1,42.6947,-1,3637.5625,-1
5,1,60000,0.4869,-1,42.6496,-1,3637.5625,-1
5,2,60000,0.5041,-1,40.8809,-1,3637.4922,-1
5,3,60000,0.5506,-1,41.0305,-1,3638.1133,-1
5,4,60000,0.4976,-1,40.6898,-1,3638.0430,-1
5,5,60000,0.5353,-1,41.7785,-1,3638.0430,-1
5,6,60000,0.5258,-1,41.1870,-1,3637.9727,-1
5,7,60000,0.5323,-1,41.3479,-1,3637.9414,-1
5,8,60000,0.5456,-1,41.9699,-1,3637.9023,-1
5,9,60000,0.5551,-1,42.7475,-1,3637.8242,-1
6,0,70000,0.5564,-1,51.1037,-1,3644.3398,-1
6,1,70000,0.5650,-1,50.5746,-1,3644.1484,-1
6,2,70000,0.5822,-1,49.0528,-1,3644.2500,-1
6,3,70000,0.5803,-1,51.8196,-1,3644.1562,-1
6,4,70000,0.5964,-1,49.6067,-1,3644.0352,-1
