training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2110,-1,6.6288,-1,3595.6914,-1
0,1,10000,0.3219,-1,7.0248,-1,3595.7227,-1
0,2,10000,0.3797,-1,6.5958,-1,3595.6094,-1
0,3,10000,0.4297,-1,6.4006,-1,3595.6094,-1
0,4,10000,0.4774,-1,6.3316,-1,3595.6094,-1
0,5,10000,0.5130,-1,6.5676,-1,3595.6094,-1
0,6,10000,0.5471,-1,6.8578,-1,3595.6094,-1
0,7,10000,0.5956,-1,6.2576,-1,3595.6094,-1
0,8,10000,0.6260,-1,6.7087,-1,3595.6094,-1
0,9,10000,0.6607,-1,6.4876,-1,3595.6094,-1
1,0,10000,0.2303,-1,6.6648,-1,3597.2578,-1
1,1,10000,0.3374,-1,6.3118,-1,3597.1523,-1
1,2,10000,0.3866,-1,6.2543,-1,3597.1523,-1
1,3,10000,0.4298,-1,6.3439,-1,3597.1523,-1
1,4,10000,0.4653,-1,6.0486,-1,3597.1523,-1
1,5,10000,0.5151,-1,6.2173,-1,3597.1523,-1
1,6,10000,0.5441,-1,6.3528,-1,3597.1602,-1
1,7,10000,0.5730,-1,6.2862,-1,3597.1602,-1
1,8,10000,0.5815,-1,6.1995,-1,3597.1875,-1
1,9,10000,0.6205,-1,6.4010,-1,3597.1875,-1
2,0,10000,0.2443,-1,7.0635,-1,3597.5898,-1
2,1,10000,0.3606,-1,7.2174,-1,3597.5938,-1
2,2,10000,0.4184,-1,6.6577,-1,3597.7227,-1
2,3,10000,0.4469,-1,6.6898,-1,3597.7227,-1
2,4,10000,0.5043,-1,7.1112,-1,3597.7227,-1
2,5,10000,0.5361,-1,6.2409,-1,3597.7227,-1
2,6,10000,0.5705,-1,6.0598,-1,3597.7227,-1
2,7,10000,0.6139,-1,6.4028,-1,3597.7227,-1
2,8,10000,0.6306,-1,6.2805,-1,3597.7227,-1
2,9,10000,0.6659,-1,7.7795,-1,3597.7227,-1
3,0,10000,0.2142,-1,6.2968,-1,3598.2695,-1
3,1,10000,0.3297,-1,6.4944,-1,3598.2227,-1
3,2,10000,0.3960,-1,6.3801,-1,3598.2227,-1
3,3,10000,0.4405,-1,6.3646,-1,3598.2227,-1
3,4,10000,0.4888,-1,6.2732,-1,3598.2227,-1
3,5,10000,0.5281,-1,6.1449,-1,3598.2227,-1
3,6,10000,0.5800,-1,6.3109,-1,3598.2227,-1
3,7,10000,0.5985,-1,6.5735,-1,3598.2227,-1
3,8,10000,0.6381,-1,6.4036,-1,3598.2227,-1
3,9,10000,0.6555,-1,6.3090,-1,3598.2227,-1
4,0,10000,0.2214,-1,6.3846,-1,3598.6445,-1
4,1,10000,0.3211,-1,6.2615,-1,3598.4727,-1
4,2,10000,0.3704,-1,6.2799,-1,3598.4727,-1
4,3,10000,0.4055,-1,6.5422,-1,3598.4727,-1
4,4,10000,0.4602,-1,6.0610,-1,3598.4727,-1
4,5,10000,0.4882,-1,6.4982,-1,3598.4727,-1
4,6,10000,0.5235,-1,6.0764,-1,3598.4727,-1
4,7,10000,0.5588,-1,6.2556,-1,3598.4727,-1
4,8,10000,0.5907,-1,6.2226,-1,3598.4727,-1
4,9,10000,0.6082,-1,6.1503,-1,3598.4727,-1
5,0,10000,0.2232,-1,6.5893,-1,3598.4727,-1
5,1,10000,0.3197,-1,6.2085,-1,3598.4727,-1
5,2,10000,0.3825,-1,6.1562,-1,3598.4727,-1
5,3,10000,0.4270,-1,6.5353,-1,3598.4727,-1
5,4,10000,0.4831,-1,6.3618,-1,3598.4727,-1
5,5,10000,0.5093,-1,5.9973,-1,3598.4727,-1
5,6,10000,0.5390,-1,6.2626,-1,3598.4727,-1
