training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2029,-1,10.5453,-1,3818.9766,-1
0,1,10000,0.3191,-1,6.0714,-1,3828.2109,-1
0,2,10000,0.3727,-1,6.3882,-1,3827.9688,-1
0,3,10000,0.4311,-1,6.3295,-1,3819.0469,-1
0,4,10000,0.4699,-1,6.4178,-1,3819.0273,-1
0,5,10000,0.5104,-1,6.3811,-1,3828.0273,-1
0,6,10000,0.5569,-1,6.0956,-1,3819.2109,-1
0,7,10000,0.5884,-1,6.4099,-1,3819.2148,-1
0,8,10000,0.6167,-1,6.0230,-1,3819.2461,-1
0,9,10000,0.6530,-1,6.6337,-1,3819.2070,-1
1,0,10000,0.2302,-1,10.5191,-1,3813.8438,-1
1,1,10000,0.3265,-1,6.3997,-1,3797.5117,-1
1,2,10000,0.3745,-1,6.1797,-1,3797.8555,-1
1,3,10000,0.4330,-1,6.1589,-1,3786.4727,-1
1,4,10000,0.4723,-1,6.0137,-1,3786.4492,-1
1,5,10000,0.4935,-1,6.3286,-1,3786.4570,-1
1,6,10000,0.5445,-1,6.2750,-1,3786.4375,-1
1,7,10000,0.5767,-1,6.1681,-1,3786.5039,-1
1,8,10000,0.6073,-1,6.1794,-1,3795.5391,-1
1,9,10000,0.6338,-1,6.2898,-1,3793.5195,-1
2,0,10000,0.2405,-1,11.0856,-1,3784.5391,-1
2,1,10000,0.3556,-1,6.3661,-1,3771.3828,-1
2,2,10000,0.4210,-1,6.0408,-1,3762.2109,-1
2,3,10000,0.4570,-1,6.6632,-1,3771.5078,-1
2,4,10000,0.5095,-1,7.6541,-1,3771.2891,-1
2,5,10000,0.5437,-1,7.2083,-1,3771.3242,-1
2,6,10000,0.5717,-1,6.9628,-1,3769.3750,-1
2,7,10000,0.6091,-1,7.0600,-1,3771.4453,-1
2,8,10000,0.6490,-1,6.9703,-1,3762.3203,-1
2,9,10000,0.6626,-1,6.8173,-1,3770.6602,-1
3,0,10000,0.2212,-1,11.0692,-1,3769.0117,-1
3,1,10000,0.3286,-1,6.7889,-1,3768.6523,-1
3,2,10000,0.3932,-1,7.0132,-1,3768.6133,-1
3,3,10000,0.4375,-1,6.3161,-1,3759.5117,-1
3,4,10000,0.4927,-1,7.0664,-1,3768.4336,-1
3,5,10000,0.5425,-1,6.9046,-1,3759.5078,-1
3,6,10000,0.5699,-1,6.8994,-1,3768.6797,-1
3,7,10000,0.6106,-1,6.8552,-1,3759.4883,-1
3,8,10000,0.6430,-1,6.5503,-1,3768.4219,-1
3,9,10000,0.6737,-1,6.2122,-1,3768.6211,-1
4,0,10000,0.2253,-1,10.9952,-1,3759.5352,-1
4,1,10000,0.3181,-1,6.0889,-1,3759.5352,-1
4,2,10000,0.3741,-1,6.6922,-1,3761.1016,-1
