training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2097,-1,7.2323,-1,3265.2227,-1
0,1,10000,0.3058,-1,7.2546,-1,3265.3516,-1
0,2,10000,0.3783,-1,7.3401,-1,3265.3516,-1
0,3,10000,0.4283,-1,7.8738,-1,3265.3516,-1
0,4,10000,0.4681,-1,7.4525,-1,3265.3516,-1
0,5,10000,0.5133,-1,7.2799,-1,3265.3516,-1
0,6,10000,0.5506,-1,7.3503,-1,3265.3516,-1
0,7,10000,0.5869,-1,8.2722,-1,3265.3516,-1
0,8,10000,0.6218,-1,7.3816,-1,3265.3516,-1
0,9,10000,0.6547,-1,8.0215,-1,3265.3516,-1
1,0,10000,0.5218,-1,12.5700,-1,3267.3750,-1
1,1,10000,0.6319,-1,13.1832,-1,3267.3750,-1
1,2,10000,0.6751,-1,13.1448,-1,3267.3750,-1
1,3,10000,0.6992,-1,13.7830,-1,3267.3789,-1
1,4,10000,0.7302,-1,13.3755,-1,3267.3789,-1
1,5,10000,0.7464,-1,12.8422,-1,3267.6367,-1
1,6,10000,0.7673,-1,13.2453,-1,3267.6367,-1
1,7,10000,0.7755,-1,13.0121,-1,3267.6367,-1
1,8,10000,0.7998,-1,13.3598,-1,3267.6367,-1
1,9,10000,0.8150,-1,13.0130,-1,3267.6367,-1
2,0,10000,0.5609,-1,13.3079,-1,3268.6641,-1
2,1,10000,0.6556,-1,12.8580,-1,3268.7305,-1
2,2,10000,0.6954,-1,13.7634,-1,3268.7305,-1
2,3,10000,0.7180,-1,12.9095,-1,3268.7305,-1
2,4,10000,0.7442,-1,12.2972,-1,3268.7305,-1
2,5,10000,0.7630,-1,11.7523,-1,3268.7305,-1
2,6,10000,0.7805,-1,12.0931,-1,3268.7305,-1
2,7,10000,0.7966,-1,12.3592,-1,3268.7305,-1
2,8,10000,0.8204,-1,12.5397,-1,3268.7305,-1
2,9,10000,0.8372,-1,11.9245,-1,3268.7305,-1
3,0,10000,0.5715,-1,12.0531,-1,3269.3438,-1
3,1,10000,0.6543,-1,11.9868,-1,3269.4609,-1
3,2,10000,0.6921,-1,11.7709,-1,3269.4609,-1
3,3,10000,0.7134,-1,11.9747,-1,3269.4609,-1
3,4,10000,0.7373,-1,11.4004,-1,3269.4609,-1
3,5,10000,0.7610,-1,11.7526,-1,3269.4609,-1
3,6,10000,0.7785,-1,11.7622,-1,3269.4609,-1
3,7,10000,0.7998,-1,11.9341,-1,3269.4609,-1
3,8,10000,0.8222,-1,11.8909,-1,3269.4609,-1
3,9,10000,0.8397,-1,11.4895,-1,3269.4609,-1
4,0,10000,0.5878,-1,11.9118,-1,3269.8125,-1
4,1,10000,0.6562,-1,11.5097,-1,3269.9492,-1
4,2,10000,0.6854,-1,11.9447,-1,3269.9492,-1
4,3,10000,0.7089,-1,12.8591,-1,3269.9492,-1
4,4,10000,0.7242,-1,14.4116,-1,3269.9492,-1
4,5,10000,0.7430,-1,14.7479,-1,3269.9492,-1
4,6,10000,0.7655,-1,15.0438,-1,3269.9492,-1
4,7,10000,0.7833,-1,15.2988,-1,3269.9492,-1
4,8,10000,0.7936,-1,12.4459,-1,3269.9492,-1
4,9,10000,0.8178,-1,11.8579,-1,3269.9492,-1
5,0,10000,0.5899,-1,12.4275,-1,3270.2969,-1
5,1,10000,0.6699,-1,11.9073,-1,3270.2969,-1
5,2,10000,0.6973,-1,11.4471,-1,3270.2969,-1
5,3,10000,0.7172,-1,12.5126,-1,3270.2969,-1
5,4,10000,0.7399,-1,11.6336,-1,3270.2969,-1
5,5,10000,0.7563,-1,12.0692,-1,3270.3008,-1
5,6,10000,0.7761,-1,11.5112,-1,3270.3008,-1
5,7,10000,0.7978,-1,12.3391,-1,3270.3047,-1
5,8,10000,0.8192,-1,11.7245,-1,3270.3086,-1
5,9,10000,0.8345,-1,12.0233,-1,3270.3086,-1
6,0,10000,0.5688,-1,11.6815,-1,3271.1250,-1
6,1,10000,0.6412,-1,11.9602,-1,3271.1250,-1
6,2,10000,0.6722,-1,11.6438,-1,3271.1250,-1
6,3,10000,0.6942,-1,12.3369,-1,3271.1250,-1
6,4,10000,0.7161,-1,11.6848,-1,3271.1250,-1
6,5,10000,0.7348,-1,12.0832,-1,3271.1250,-1
6,6,10000,0.7563,-1,13.9699,-1,3271.1250,-1
6,7,10000,0.7745,-1,14.3435,-1,3271.1250,-1
6,8,10000,0.7965,-1,13.3248,-1,3271.1250,-1
6,9,10000,0.8165,-1,13.5319,-1,3271.1250,-1
7,0,10000,0.5962,-1,12.8519,-1,3271.5273,-1
7,1,10000,0.6757,-1,11.7824,-1,3271.5273,-1
7,2,10000,0.7027,-1,12.4419,-1,3271.6484,-1
7,3,10000,0.7279,-1,11.9411,-1,3271.6484,-1
7,4,10000,0.7506,-1,11.8839,-1,3271.6484,-1
7,5,10000,0.7719,-1,12.2904,-1,3271.6484,-1
7,6,10000,0.7896,-1,12.0508,-1,3271.6484,-1
7,7,10000,0.8158,-1,12.4950,-1,3271.6484,-1
7,8,10000,0.8338,-1,12.5140,-1,3271.6484,-1
7,9,10000,0.8523,-1,11.5502,-1,3271.6484,-1
