,Experience,naive,cumulative,replay_500,replay_2500,lwf
0,0,0.07300000000000001,0.07750000000000001,0.0709,0.07279999999999999,0.07160000000000001
1,0,0.07010000000000001,0.07170000000000001,0.06860000000000002,0.069,0.0713
2,0,0.07300000000000001,0.0748,0.07680000000000001,0.0733,0.07619999999999999
3,1,0.0874,0.1031,0.098,0.101,0.0903
4,1,0.0863,0.0945,0.0915,0.09920000000000002,0.0907
5,1,0.0872,0.101,0.09999999999999999,0.0962,0.08970000000000002
6,2,0.10630000000000002,0.11720000000000001,0.11679999999999999,0.1277,0.1022
7,2,0.09620000000000001,0.11199999999999999,0.11539999999999999,0.12899999999999998,0.1062
8,2,0.10029999999999999,0.11709999999999998,0.1232,0.126,0.10329999999999999
9,3,0.1183,0.13620000000000002,0.13620000000000002,0.1476,0.10880000000000001
10,3,0.10859999999999999,0.1396,0.14040000000000002,0.15009999999999998,0.11639999999999999
11,3,0.1146,0.1416,0.14529999999999998,0.15129999999999996,0.11620000000000001
12,4,0.12280000000000002,0.158,0.15850000000000003,0.16770000000000002,0.1242
13,4,0.1142,0.15430000000000002,0.1512,0.16879999999999998,0.12099999999999997
14,4,0.11720000000000001,0.1588,0.15819999999999998,0.1738,0.1223
15,5,0.12799999999999997,0.1522,0.1708,0.19229999999999997,0.1297
16,5,0.1222,0.1565,0.16770000000000002,0.18960000000000002,0.13140000000000002
17,5,0.12229999999999999,0.16119999999999998,0.1672,0.1904,0.1255
18,6,0.1355,0.1747,0.1791,0.20470000000000002,0.1333
19,6,0.1256,0.17539999999999997,0.1728,0.203,0.13060000000000002
20,6,0.1273,0.1649,0.1789,0.20550000000000002,0.1327
21,7,0.145,0.2057,0.1907,0.22240000000000001,0.1466
22,7,0.12430000000000001,0.20800000000000002,0.18630000000000002,0.2202,0.1429
23,7,0.14089999999999997,0.20829999999999999,0.18960000000000002,0.22550000000000003,0.1395
24,8,0.1505,0.2189,0.20420000000000002,0.2407,0.148
25,8,0.1345,0.21649999999999997,0.2015,0.24159999999999998,0.15389999999999998
26,8,0.14739999999999998,0.2246,0.2097,0.24409999999999998,0.1447
27,9,0.1588,0.2406,0.2125,0.2652,0.1621
28,9,0.15710000000000002,0.2474,0.20550000000000002,0.25460000000000005,0.1558
29,9,0.15530000000000002,0.2259,0.2156,0.25460000000000005,0.1492
