,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,0.07203333333333334,0.0016743157806499145,0.07466666666666667,0.002902297940138698,0.07210000000000001,0.0042296571965113145,0.0717,0.002351595203260965,0.07303333333333334,0.002746512940681926
1,1,0.08696666666666668,0.0005859465277082325,0.09953333333333332,0.004483674088661366,0.09649999999999999,0.004444097208657793,0.09880000000000001,0.0024248711305964363,0.09023333333333333,0.00050332229568471
2,2,0.10093333333333333,0.005079698153762033,0.11543333333333333,0.002973774257292131,0.11846666666666665,0.004158525379666861,0.12756666666666666,0.001504437879519556,0.10389999999999999,0.0020663978319771857
3,3,0.11383333333333333,0.0048952357791360165,0.13913333333333336,0.002730079363925763,0.14063333333333336,0.004554484969053382,0.14966666666666664,0.0018876793513023461,0.11380000000000001,0.004331281565541539
4,4,0.11806666666666667,0.004365012409298905,0.15703333333333333,0.0024006943440040996,0.15596666666666667,0.004130778780488415,0.1701,0.003251153641401776,0.1225,0.001609347693943125
5,5,0.12416666666666665,0.0033201405592735446,0.15663333333333332,0.004501481237696459,0.16856666666666667,0.001950213663508015,0.19076666666666667,0.001386842937514289,0.12886666666666666,0.0030369941279715018
6,6,0.12946666666666665,0.005293706955747875,0.17166666666666663,0.005870547958524253,0.1769333333333333,0.003580968211717792,0.20440000000000003,0.0012767145334803723,0.1322,0.0014177446878757731
7,7,0.13673333333333332,0.010960991439342201,0.20733333333333334,0.001422439219556794,0.18886666666666665,0.0022898325994127407,0.2227,0.002662705391138883,0.143,0.0035510561809129386
8,8,0.14413333333333334,0.008485477790515578,0.22,0.004160528812542952,0.20513333333333336,0.0041789153297636045,0.2421333333333333,0.001761628034896503,0.14886666666666665,0.0046608296829355675
9,9,0.1570666666666667,0.0017502380790433314,0.23796666666666666,0.01098923715884472,0.21120000000000003,0.005173973328110608,0.2581333333333334,0.00611991285341,0.15569999999999998,0.006450581369148053
