,Experience,naive,cumulative,replay_500,replay_2500,lwf
0,0,10000.0,10000.0,10000.0,10000.0,10000.0
0,0,10000.0,10000.0,10000.0,10000.0,10000.0
0,0,10000.0,10000.0,10000.0,10000.0,10000.0
0,1,10000.0,20000.0,10000.0,10000.0,10000.0
0,1,10000.0,20000.0,10000.0,10000.0,10000.0
0,1,10000.0,20000.0,10000.0,10000.0,10000.0
0,2,10000.0,30000.0,10000.0,10000.0,10000.0
0,2,10000.0,30000.0,10000.0,10000.0,10000.0
0,2,10000.0,30000.0,10000.0,10000.0,10000.0
0,3,10000.0,40000.0,10000.0,10000.0,10000.0
0,3,10000.0,40000.0,10000.0,10000.0,10000.0
0,3,10000.0,40000.0,10000.0,10000.0,10000.0
0,4,10000.0,50000.0,10000.0,10000.0,10000.0
0,4,10000.0,50000.0,10000.0,10000.0,10000.0
0,4,10000.0,50000.0,10000.0,10000.0,10000.0
0,5,10000.0,60000.0,10000.0,10000.0,10000.0
0,5,10000.0,60000.0,10000.0,10000.0,10000.0
0,5,10000.0,60000.0,10000.0,10000.0,10000.0
0,6,10000.0,70000.0,10000.0,10000.0,10000.0
0,6,10000.0,70000.0,10000.0,10000.0,10000.0
0,6,10000.0,70000.0,10000.0,10000.0,10000.0
0,7,10000.0,80000.0,10000.0,10000.0,10000.0
0,7,10000.0,80000.0,10000.0,10000.0,10000.0
0,7,10000.0,80000.0,10000.0,10000.0,10000.0
0,8,10000.0,90000.0,10000.0,10000.0,10000.0
0,8,10000.0,90000.0,10000.0,10000.0,10000.0
0,8,10000.0,90000.0,10000.0,10000.0,10000.0
0,9,10000.0,100000.0,10000.0,10000.0,10000.0
0,9,10000.0,100000.0,10000.0,10000.0,10000.0
0,9,10000.0,100000.0,10000.0,10000.0,10000.0
